EventID,Detector,ParticleName,Energy
226,Detector2,pi+,0.14574
226,Detector2,pi-,0.641171
226,Detector2,pi0,0.132276
226,Detector2,pi-,0.242647
226,Detector2,pi-,0.241509
226,Detector2,pi+,0.106122
414,Detector1,pi+,2.36425
414,Detector1,pi0,0.139669
414,Detector1,pi+,0.906713
414,Detector1,pi+,1.00567
414,Detector1,pi-,1.50684
414,Detector2,pi+,2.36013
414,Detector2,pi+,0.902476
414,Detector2,pi+,1.00185
414,Detector2,pi-,1.50562
414,Detector2,pi-,1.50272
414,Detector3,pi+,0.988608
414,Detector3,pi+,0.985425
414,Detector3,pi+,0.984632
414,Detector3,pi-,1.49897
414,Detector3,pi-,0
414,Detector3,pi-,0.392295
414,Detector3,pi-,0.387721
414,Detector3,pi-,0.386622
414,Detector3,pi-,0.384922
414,Detector3,pi-,0.379934
414,Detector3,pi-,0.375922
414,Detector3,pi0,0.454633
192,Detector2,pi+,1.37125
192,Detector2,pi0,1.82379
192,Detector2,pi+,1.0555
192,Detector3,pi+,0.883259
365,Detector2,pi0,0.319733
365,Detector2,pi+,0.790868
365,Detector2,pi0,0.632937
365,Detector2,pi0,1.23611
365,Detector2,pi+,0.449404
365,Detector2,pi-,0.937977
365,Detector3,pi+,0.3336
373,Detector2,pi+,0.842453
373,Detector2,pi+,0.332285
373,Detector2,pi+,0.331125
373,Detector3,mu+,0.819624
373,Detector3,mu+,0.317912
373,Detector3,mu+,0.315804
104,Detector1,pi0,0.317324
104,Detector1,pi+,1.22638
104,Detector2,pi+,1.2225
444,Detector1,pi+,0.116958
444,Detector1,pi-,0.233668
444,Detector1,pi0,0.598671
444,Detector1,pi0,0.976738
444,Detector1,pi+,1.76366
444,Detector1,pi0,1.00458
444,Detector1,pi0,0.0887828
444,Detector2,pi-,0.227628
444,Detector2,pi-,0.223011
444,Detector2,pi-,0.221868
444,Detector2,pi+,1.75977
444,Detector3,mu-,0.138372
444,Detector3,mu-,0.133767
444,Detector3,pi+,1.7547
282,Detector1,pi+,4.17799
282,Detector1,pi+,4.17536
282,Detector1,pi-,0.313805
282,Detector1,pi+,0.551069
282,Detector1,pi-,0.307967
282,Detector1,pi-,0.3059
282,Detector2,pi+,4.17148
282,Detector2,mu-,0.221837
282,Detector2,pi+,0.55024
282,Detector2,pi+,0.548361
282,Detector2,pi+,0.546388
282,Detector2,pi-,0.029711
282,Detector2,pi-,0.0262113
282,Detector2,pi-,0.0254683
282,Detector3,pi+,4.15919
282,Detector3,pi+,4.15608
282,Detector3,mu-,0.213084
282,Detector3,pi+,0.532778
282,Detector3,mu-,0.0229171
282,Detector3,mu-,0.0207945
282,Detector3,mu-,0.018221
282,Detector3,mu-,0.0170829
418,Detector2,pi+,0.14953
418,Detector2,pi+,0.149261
418,Detector2,pi-,0.86517
418,Detector2,pi+,0.0632103
418,Detector2,pi+,0.0545364
418,Detector2,pi+,0.0524341
418,Detector2,pi+,0.279492
629,Detector2,pi+,1.37042
629,Detector2,pi0,0.180315
629,Detector2,pi-,0.288811
629,Detector3,pi+,1.36616
324,Detector2,pi+,1.20541
324,Detector2,pi0,1.29189
324,Detector2,pi+,0.803732
324,Detector2,pi0,0.492327
324,Detector2,pi-,0.37362
324,Detector2,pi+,0.591267
324,Detector2,pi-,0.0272729
324,Detector3,pi+,0
324,Detector3,pi+,0.242073
324,Detector3,pi-,0.359876
324,Detector3,pi+,0.57584
324,Detector3,pi+,0.573571
324,Detector3,mu-,0.00769901
324,Detector3,mu-,0.00649749
324,Detector3,mu-,0.00545299
324,Detector3,mu-,0.00432312
324,Detector3,mu-,0.00333547
324,Detector3,mu-,0.00239833
324,Detector3,mu-,0.00136339
324,Detector3,mu-,3.02747e-05
324,Detector3,mu-,3.93099e-06
324,Detector3,mu-,0
324,Detector3,mu-,0
499,Detector1,pi-,0.986569
499,Detector2,pi-,0.983871
499,Detector2,pi-,0.981959
499,Detector3,pi-,0.977115
686,Detector2,pi0,4.64226
686,Detector2,pi0,0.0491413
686,Detector2,pi+,0.782779
570,Detector1,pi-,2.93733
570,Detector1,pi-,2.93711
570,Detector1,pi0,0.115217
570,Detector1,pi+,0.947613
570,Detector2,pi-,2.93349
571,Detector1,pi-,0.114764
571,Detector1,pi+,2.28661
571,Detector2,pi+,2.28566
571,Detector2,pi+,2.28189
571,Detector2,pi+,2.28141
428,Detector2,pi-,0.213143
428,Detector2,pi-,0.213084
428,Detector2,pi+,0.38612
428,Detector2,pi+,0.384896
428,Detector2,pi+,0.383499
428,Detector2,pi+,1.57511
428,Detector3,pi-,0.191207
428,Detector3,mu+,0.205317
428,Detector3,mu+,0.204252
428,Detector3,mu+,0.201511
33,Detector2,pi0,0.197606
33,Detector2,pi0,0.502802
33,Detector2,pi+,0.0512257
33,Detector2,pi+,0.0500582
33,Detector2,pi-,0.10831
33,Detector2,pi0,0.216285
33,Detector3,mu+,0.0478265
33,Detector3,mu+,0.0470002
33,Detector3,pi-,0.0730845
33,Detector3,pi+,0.0334182
33,Detector3,pi+,0.0292469
33,Detector3,pi+,0.0271623
33,Detector3,pi-,0.0995323
500,Detector2,pi0,0.538006
500,Detector2,pi0,3.62853
500,Detector2,pi0,0.54654
500,Detector2,pi0,0.833709
500,Detector2,pi+,0.378127
500,Detector2,pi+,0.367174
611,Detector2,pi0,0.902749
639,Detector1,pi0,1.09847
639,Detector1,pi+,2.25539
639,Detector1,pi+,2.25512
639,Detector2,pi+,2.21516
639,Detector3,pi+,2.21062
791,Detector1,pi0,0.0741212
791,Detector1,pi+,0.131422
791,Detector2,pi+,0.124829
791,Detector3,mu+,0.12001
797,Detector2,pi-,1.69502
797,Detector2,pi0,1.78449
797,Detector2,pi-,0.221398
797,Detector2,pi0,1.64383
797,Detector2,pi+,0.11199
797,Detector3,pi+,0.106582
181,Detector1,pi+,0.123604
181,Detector1,pi+,0.123362
181,Detector1,pi-,0.154912
181,Detector1,pi-,0.151495
181,Detector1,pi-,0.670191
181,Detector1,pi+,0.2098
181,Detector2,pi-,0.150154
181,Detector2,pi-,0.144101
181,Detector2,pi-,0.140779
181,Detector2,pi-,0.140139
181,Detector2,pi-,0.138909
181,Detector2,pi-,0.669307
181,Detector2,pi-,0.66594
181,Detector3,mu-,0.0743739
181,Detector3,pi-,0.653659
697,Detector2,pi+,1.7281
697,Detector2,pi-,0.445179
697,Detector2,pi-,0.0654518
697,Detector2,pi0,1.23297
697,Detector2,pi+,0.441407
697,Detector2,pi+,0.439641
697,Detector3,pi+,1.72302
697,Detector3,pi+,0.435868
646,Detector3,pi+,0.820867
646,Detector3,pi+,0.819663
646,Detector3,pi-,0.958645
745,Detector2,pi-,0.6049
745,Detector2,pi0,0.314419
745,Detector2,pi+,1.2603
745,Detector2,pi0,0.193237
745,Detector2,pi-,0.627234
745,Detector2,pi+,0.244537
745,Detector2,pi+,0.292755
745,Detector2,pi0,0.0491377
745,Detector2,pi0,0.21972
745,Detector3,pi-,0.600605
745,Detector3,pi+,1.25359
745,Detector3,pi+,0.288552
745,Detector3,pi+,0.285049
699,Detector2,pi+,0.0927879
699,Detector2,pi0,0.145305
699,Detector2,pi-,0.579839
699,Detector2,pi+,0.814545
699,Detector2,pi+,1.22577
699,Detector3,mu+,0.0896834
699,Detector3,mu+,0.0881556
699,Detector3,mu+,0.088032
699,Detector3,pi+,1.21715
828,Detector1,mu+,0.0300602
828,Detector1,mu+,0.0257661
828,Detector1,mu+,0.0226114
828,Detector1,mu+,0.0194937
828,Detector1,mu+,0.0167799
828,Detector1,mu+,0.0143981
828,Detector1,mu+,0.0133776
828,Detector2,pi-,0.0791659
828,Detector2,pi+,0.060998
828,Detector2,pi+,0.0531674
828,Detector2,pi+,0.0467487
828,Detector2,pi+,0.042495
828,Detector2,pi+,0.036539
828,Detector2,pi+,0.0319637
828,Detector2,pi+,0.0278373
828,Detector2,pi-,0.575022
828,Detector2,pi0,2.0181
828,Detector2,pi+,1.33401
429,Detector2,pi-,0.319484
429,Detector2,pi+,0
429,Detector2,pi+,0.138045
429,Detector2,pi-,0.112001
429,Detector2,pi-,0.109997
429,Detector2,pi-,0.106892
429,Detector3,pi-,0.312528
429,Detector3,pi-,0.101675
549,Detector1,pi0,0.576306
549,Detector1,pi-,0.273116
549,Detector1,pi-,0.107814
549,Detector1,pi-,0.103606
549,Detector1,pi-,0.0893475
549,Detector1,pi-,0.0778823
549,Detector1,pi-,0.0680045
549,Detector1,pi-,0.0637347
549,Detector1,pi+,0.780513
549,Detector1,pi+,0.261068
549,Detector1,pi-,0.992308
549,Detector2,pi+,0.776383
549,Detector2,pi+,0.257322
549,Detector2,pi-,0.98764
549,Detector3,pi+,0.770668
549,Detector3,pi+,0.252837
549,Detector3,pi+,0.249876
961,Detector1,pi0,0.143554
856,Detector1,pi+,0.113486
856,Detector2,pi+,0.107124
856,Detector2,pi+,0.106967
856,Detector3,pi+,0.101218
891,Detector1,pi0,0.371742
891,Detector1,pi-,0.660329
891,Detector1,pi0,0.165411
891,Detector1,pi+,0.132814
891,Detector1,pi+,0.129245
891,Detector1,pi+,0.12803
891,Detector1,pi0,0.525337
891,Detector1,pi+,0.314546
891,Detector1,pi+,0.314422
891,Detector1,pi+,0.469325
891,Detector1,pi+,0.538621
891,Detector1,pi+,0.53488
891,Detector1,pi-,0.244666
891,Detector1,pi-,0.244358
891,Detector2,mu+,0.229691
891,Detector2,mu+,0.225192
891,Detector2,pi-,0.659072
891,Detector2,pi-,0.655931
891,Detector2,pi+,0.125269
891,Detector2,pi+,0.11906
891,Detector2,pi+,0.310256
891,Detector2,pi-,0.238502
891,Detector3,mu+,0.145955
891,Detector3,mu+,0.142647
891,Detector3,pi-,0.648213
891,Detector3,pi-,0.64718
891,Detector3,pi+,0.0953836
891,Detector3,pi+,0.304966
891,Detector3,mu-,0.251274
447,Detector2,pi0,0.51895
447,Detector2,pi+,0.34062
447,Detector2,pi+,0.0860192
447,Detector2,pi0,0.130839
447,Detector2,pi-,0.540717
447,Detector2,pi0,0.246603
447,Detector2,pi-,0.576203
447,Detector2,pi+,0.233451
447,Detector2,pi0,1.0678
447,Detector2,pi-,0.0326179
447,Detector2,pi-,0.0284236
447,Detector2,pi-,0.0251504
447,Detector2,pi-,0.0220497
447,Detector2,pi-,0.0194167
447,Detector2,pi-,0.0169574
447,Detector2,pi-,0.0143628
447,Detector2,pi-,0.0122077
447,Detector2,pi-,0.0104349
447,Detector2,pi-,0.00889635
447,Detector2,pi-,0.00841157
447,Detector2,pi-,0.00193776
447,Detector2,pi-,0.000562837
447,Detector2,pi-,2.73579e-05
447,Detector2,pi-,0
447,Detector2,pi-,0
451,Detector2,pi+,1.14194
451,Detector2,pi+,0.490303
451,Detector2,pi+,0.489959
451,Detector2,pi-,0.167228
451,Detector3,pi+,1.13609
451,Detector3,pi+,0.484102
460,Detector2,pi+,1.57801
460,Detector2,pi0,0.0962687
460,Detector2,pi+,2.26679
460,Detector2,pi-,0.550853
460,Detector2,pi-,0.548555
460,Detector2,pi+,0.117082
460,Detector2,pi+,0.111528
460,Detector2,pi+,0.110937
460,Detector2,pi+,0.105677
460,Detector2,pi+,0.0999653
460,Detector2,pi+,0.0953263
460,Detector2,pi+,0.0924351
460,Detector2,pi+,0.0913586
460,Detector2,pi+,0.0835264
460,Detector2,pi+,0.0806977
460,Detector2,pi+,0.0691525
460,Detector2,pi+,0.060045
460,Detector2,pi+,0.0518406
460,Detector2,pi+,0.0455894
460,Detector2,pi+,0.0401895
460,Detector2,pi+,0.0349647
460,Detector2,pi+,0.0304863
460,Detector2,pi+,0.0268606
460,Detector2,pi+,0.0234537
460,Detector2,pi+,0.0204946
460,Detector2,pi+,0.0176424
460,Detector2,pi+,0.0155768
460,Detector2,pi+,0.0136285
460,Detector2,pi+,0.0118323
460,Detector2,pi+,0.010247
460,Detector2,pi+,0.00872151
460,Detector2,pi+,0.00727149
460,Detector2,pi+,0.00609796
460,Detector2,pi+,0.00489951
460,Detector2,pi+,0.00383569
460,Detector2,pi+,0.0026289
460,Detector2,pi+,0.00139099
460,Detector2,pi+,9.35565e-05
460,Detector2,pi+,0
460,Detector2,pi+,0
460,Detector2,mu+,0.00314427
460,Detector2,mu+,0.00206434
460,Detector2,mu+,0.000973817
460,Detector2,mu+,2.65789e-05
460,Detector2,mu+,1.5163e-06
460,Detector2,mu+,0
460,Detector2,mu+,0
460,Detector2,pi0,1.07945
463,Detector1,pi-,0.272655
463,Detector1,pi+,1.30585
463,Detector2,pi+,1.30191
