ParticleType	PosX_mm	PosY_mm	PosZ_mm
pi+	3.74061	-1.47887	165.365
pi+	9.19083	-1.45183	234.427
pi+	10.4394	-0.833016	251.262
pi+	11.4137	0.951643	262.826
pi+	11.4758	1.05559	263.875
pi+	11.9618	1.40511	271.605
pi+	13.1582	6.84443	319.416
pi+	11.5955	9.2909	357.897
pi+	5.55752	6.07968	388.374
pi+	0.661884	3.33912	412.96
pi+	-1.44062	4.81308	422.517
pi+	-8.90935	9.79808	438.608
pi+	-14.5277	12.4252	452.059
pi+	-18.7517	14.6624	463.245
pi+	-22.0878	17.4518	472.026
pi+	-24.6082	19.546	479.152
pi+	-25	19.8858	479.935
pi+	-42.2083	36.7634	515
pi+	-46.9426	41.7543	525
pi+	-147.86	358.329	4570.97
mu+	186.374	178.009	40303.1
mu+	217.296	254.318	68641.9
mu+	-34.1499	398.081	91476.6
mu+	203.069	307.175	109172
mu+	210.264	262.363	122766
mu+	195.056	218.472	133442
mu+	122.646	169.294	142066
mu+	82.8876	381.483	148994
mu+	6.08128	259.77	154284
mu+	70.9113	369.409	158510
mu+	8.60101	278.571	161929
mu+	168.831	325.512	164770
mu+	182.867	279.144	167024
mu+	131.64	348.675	168845
mu+	42.4605	220.846	170308
mu+	104.031	349.422	171481
mu+	157.861	315.467	172434
mu+	155.801	319.735	173207
mu+	104.991	351.396	173808
mu+	40.474	283.109	174287
mu+	133.944	249.53	174693
mu+	67.7684	327.206	175018
mu+	123.401	250.549	175287
mu+	60.4276	300.524	175511
mu+	132.729	305.644	175691
mu+	110.078	255.107	175836
mu+	73.401	280.757	175952
mu+	87.8941	314.912	176042
mu+	116.595	309.763	176113
mu+	127.428	290.008	176168
mu+	122.756	271.488	176212
mu+	107.112	260.836	176245
mu+	91.0233	259.556	176271
mu+	78.8561	266.022	176292
mu+	71.9503	275.273	176308
mu+	70.6891	284.468	176321
mu+	71.361	291.487	176332
mu+	74.3366	296.948	176341
mu+	77.791	300.798	176347
mu+	80.9458	303.515	176353
mu+	83.5945	305.71	176357
mu+	85.8849	307.082	176360
mu+	87.7955	308.133	176363
mu+	89.2706	308.866	176365
mu+	90.6009	309.375	176366
mu+	91.6738	309.805	176368
mu+	92.479	310.163	176369
mu+	93.1803	310.381	176369
mu+	93.7089	310.486	176370
mu+	94.1354	310.545	176371
mu+	94.515	310.586	176371
mu+	94.8491	310.583	176371
mu+	95.1096	310.581	176371
mu+	95.3023	310.541	176372
mu+	95.4597	310.525	176372
mu+	95.5816	310.52	176372
mu+	95.5816	310.52	176372
pi0	0.803774	0.133515	125.488
pi0	0.803726	0.133511	125.488
pi-	-5.74845	6.31698	131.698
pi-	-7.03894	1.83514	134.372
pi-	-8.41445	-2.09521	135.72
pi-	-9.98483	-5.16314	136.251
pi-	-11.0467	-7.70613	136.131
pi-	-11.4929	-9.87381	135.957
pi-	-12.1122	-11.564	135.841
pi-	-12.8751	-12.76	135.643
pi-	-13.3735	-13.76	135.494
pi-	-13.6963	-14.5813	135.402
pi-	-13.9579	-15.1985	135.188
pi-	-14.1784	-15.7096	135.058
pi-	-14.3729	-16.1031	134.954
pi-	-14.588	-16.3738	134.859
pi-	-14.751	-16.5538	134.726
pi-	-14.8636	-16.7052	134.625
pi-	-14.9259	-16.8068	134.549
pi-	-14.9257	-16.83	134.545
pi-	-14.9259	-16.8302	134.545
pi-	-14.9259	-16.8302	134.545
pi+	0.801894	-6.35773	133.329
pi+	1.24705	-11.7821	139.501
pi+	0.607259	-16.4254	144.14
pi+	0.099695	-19.71	148.594
pi+	-1.01048	-22.0148	152.274
pi+	-1.81139	-24.1455	154.903
pi+	-2.05548	-25	155.618
pi+	-697.304	282.698	5871.35
mu+	-413.604	-3.95544	8591.73
mu+	-554.44	-26.2325	10728
mu+	79.6067	118.529	12342.1
mu+	-155.659	-71.7685	13588
mu+	-135.122	-76.4877	14696.6
mu+	43.9655	98.8901	15428.5
mu+	-255.505	54.0908	15990.4
mu+	-143.236	221.529	16396.2
mu+	-77.41	218.125	16781.1
mu+	-127.716	224.241	17078.2
mu+	-234.564	125.184	17314.5
mu+	-91.4325	5.52834	17507.5
mu+	-106.588	206.294	17657.4
mu+	-144.6	17.5355	17794.5
mu+	-152.866	194.562	17903
mu+	-55.0655	70.1044	17984.3
mu+	-192.58	55.7503	18040.3
mu+	-173.171	174.08	18080.7
mu+	-72.7104	157.868	18110.2
mu+	-63.8275	76.1509	18133.5
mu+	-118.38	41.3439	18153.3
mu+	-166.362	63.0189	18167.3
mu+	-180.781	102.328	18177.5
mu+	-170.93	134.86	18187.7
mu+	-150.11	152.648	18195.8
mu+	-127.936	159.067	18201.9
mu+	-109.149	156.104	18206
mu+	-95.9775	147.895	18209.9
mu+	-87.6212	138.814	18212.9
mu+	-83.4724	129.636	18215.8
mu+	-82.4892	121.489	18217.8
mu+	-83.2472	115	18219.3
mu+	-84.5693	110.392	18220.6
mu+	-86.3517	106.971	18221.7
mu+	-88.2417	104.499	18222.5
mu+	-89.8889	102.658	18223.2
mu+	-91.0835	101.313	18224.1
mu+	-92.0624	100.276	18224.7
mu+	-92.9369	99.4874	18225.2
mu+	-93.6606	98.8538	18225.7
mu+	-94.2423	98.4625	18226
mu+	-94.7109	98.1637	18226.3
mu+	-95.075	97.9429	18226.5
mu+	-95.3749	97.8106	18226.7
mu+	-95.601	97.7344	18226.9
mu+	-95.7736	97.6702	18227
mu+	-95.8914	97.6602	18227.1
mu+	-95.8914	97.6602	18227.1
pi-	0.117563	12.9559	171.728
pi-	0.20197	14.4964	170.129
pi-	0.328754	15.6221	168.761
pi-	0.305779	16.4735	167.611
pi-	0.596772	17.1854	166.728
pi-	0.730942	17.7782	166.057
pi-	0.890224	18.1678	165.479
pi-	0.926079	18.476	164.994
pi-	1.00171	18.7378	164.614
pi-	1.14373	18.8955	164.31
pi-	1.23685	19.0233	164.054
pi-	1.32995	19.1048	163.855
pi-	1.4065	19.1504	163.705
pi-	1.40971	19.1663	163.642
pi-	1.40957	19.1667	163.64
pi-	1.40957	19.1667	163.64
pi-	-4.96409	7.26189	177.342
pi-	-9.48461	4.02867	179.643
pi-	-11.1898	2.35851	180.581
pi-	-15.1258	4.31362	181.904
pi-	-18.6466	5.26831	182.465
pi-	-21.5315	5.89133	182.566
pi-	-23.7282	6.65888	182.131
pi-	-23.8359	6.73277	182.128
pi-	-25	7.18957	182.612
pi-	-176.379	-718.428	615.242
mu-	169.223	-518.786	6416.51
mu-	125.5	-587.362	10645.5
mu-	64.2225	-651.644	13520.9
mu-	104.03	-615.169	15010.8
mu-	73.6484	-640.92	15444.4
mu-	191.324	-458.662	15762.9
mu-	-245.949	-193.636	16214.2
mu-	-56.5599	-126.862	16357.4
mu-	-265.294	-499.395	16361.6
mu-	-300.397	-419.705	16390.6
mu-	89.9455	-300.237	16575.5
mu-	-90.6468	-189.023	16765
mu-	29.6664	-222.432	16843.6
mu-	-43.1738	-529.635	16950.8
mu-	25.1685	-233.321	17091.3
mu-	-152.9	-263.202	17302.3
mu-	-177.968	-302.666	17426.4
mu-	-137.996	-248.846	17525.5
mu-	18.3972	-246.644	17580.3
mu-	14.9733	-441.709	17639.3
mu-	-141.925	-301.578	17731.5
mu-	39.3496	-400.732	17796.5
mu-	-99.2904	-272.076	17867.2
mu-	-54.1668	-435.666	17925.9
mu-	39.6154	-323.038	17974.8
mu-	-72.9357	-293.704	18019
mu-	-94.5585	-402.607	18050.7
mu-	-22.1284	-452.014	18077.1
mu-	38.4318	-410.92	18095.9
