ParticleType,Energy
pi-,205.7
pi-,205.7
pi-,205.7
2pi-,204.441
2pi-,204.441
2pi-,204.441
pi-,550.171
pi-,550.171
2pi-,549.265
2pi-,549.265
pi-,1529.37
pi-,1529.37
2pi-,1528.49
2pi-,1528.49
pi+,36.6575
pi+,36.6575
pi+,36.6575
2mu+,5.84015
2mu+,5.84015
2mu+,5.84015
pi-,470.133
pi-,470.133
2pi-,468.734
2pi-,468.734
pi-,138.641
pi-,138.641
pi-,138.641
2pi-,137.279
2pi-,137.279
2pi-,137.279
pi-,334.477
pi-,334.477
2mu-,201.034
2mu-,201.034
2mu-,201.034
pi+,1695.54
pi+,1695.54
2pi+,1694.59
2pi+,1694.59
pi+,648.52
pi+,648.52
2mu+,532.048
2mu+,532.048
pi+,1424.42
pi+,1424.42
2pi+,1422.67
2pi+,1422.67
pi-,402.883
pi-,402.883
2mu-,353.846
2mu-,353.846
pi+,372.933
pi+,372.933
2pi+,371.982
2pi+,371.982
pi+,504.605
pi+,504.605
2pi+,502.266
2pi+,502.266
pi-,235.083
pi-,235.083
pi-,235.083
2mu-,257.838
2mu-,257.838
2mu-,257.838
pi+,154.38
pi+,154.38
pi+,154.38
2pi+,153.258
2pi+,153.258
2pi+,153.258
pi+,209.924
pi+,209.924
pi+,209.924
2pi+,205.425
2pi+,205.425
2pi+,205.425
pi-,1122.38
pi-,1122.38
2pi-,1121.55
2pi-,1121.55
pi-,537.493
pi-,537.493
2pi-,536.168
2pi-,536.168
pi+,783.312
pi+,783.312
2pi+,782.252
2pi+,782.252
pi+,398.912
pi+,398.912
2pi+,397.522
2pi+,397.522
mu+,29.1229
mu+,29.1229
mu+,29.1229
2mu+,26.2382
2mu+,26.2382
2mu+,26.2382
pi-,569.787
pi-,569.787
2pi-,568.17
2pi-,568.17
pi-,760.864
pi-,760.864
2pi-,759.897
2pi-,759.897
pi+,619.366
pi+,619.366
2pi+,617.794
2pi+,617.794
pi-,220.904
pi-,220.904
pi-,220.904
2mu-,215.727
2mu-,215.727
2mu-,215.727
pi-,292.321
pi-,292.321
pi-,292.321
2pi-,291.265
2pi-,291.265
2pi-,291.265
mu+,419.826
mu+,419.826
2mu+,418.389
2mu+,418.389
pi+,137.597
pi+,137.597
pi+,137.597
2mu+,96.7617
2mu+,96.7617
2mu+,96.7617
pi+,1098.31
pi+,1098.31
2pi+,1095.22
2pi+,1095.22
pi+,738.725
pi+,738.725
2pi+,736.838
2pi+,736.838
pi+,149.409
pi+,149.409
pi+,149.409
2pi+,148.288
2pi+,148.288
2pi+,148.288
pi-,505.425
pi-,505.425
2pi-,503.065
2pi-,503.065
pi-,198.22
pi-,198.22
pi-,198.22
2pi-,197.002
2pi-,197.002
2pi-,197.002
pi-,590.011
pi-,590.011
2pi-,589.04
2pi-,589.04
pi+,245.1
pi+,245.1
pi+,245.1
2pi+,243.883
2pi+,243.883
2pi+,243.883
pi-,303.183
pi-,303.183
pi-,303.183
2pi-,302.076
2pi-,302.076
2pi-,302.076
pi-,452.574
pi-,452.574
pi-,452.574
2mu-,473.87
2mu-,473.87
2mu-,473.87
pi+,288.712
pi+,288.712
pi+,288.712
2pi+,287.829
2pi+,287.829
2pi+,287.829
pi+,539.859
pi+,539.859
2pi+,538.887
2pi+,538.887
pi-,833.558
pi-,833.558
2pi-,832.344
2pi-,832.344
pi+,439.059
pi+,439.059
2pi+,438.048
2pi+,438.048
pi-,249.955
pi-,249.955
pi-,249.955
2pi-,244.717
2pi-,244.717
2pi-,244.717
pi-,120.502
pi-,120.502
pi-,120.502
pi-,649.178
pi-,649.178
2pi-,647.716
2pi-,647.716
pi-,294.279
pi-,294.279
2mu-,214.782
2mu-,214.782
2mu-,214.782
pi+,2062.83
pi+,2062.83
2pi+,2061.94
2pi+,2061.94
pi+,1066.6
pi+,1066.6
2pi+,1065.75
2pi+,1065.75
pi-,363.851
pi-,363.851
2pi-,362.821
2pi-,362.821
pi-,1595.52
pi-,1595.52
2pi-,1594.46
2pi-,1594.46
pi-,1830.5
pi-,1830.5
2pi-,1829.44
2pi-,1829.44
pi-,276.753
pi-,276.753
2mu-,206.902
2mu-,206.902
2mu-,206.902
pi-,395.796
pi-,395.796
2pi-,393.162
2pi-,393.162
pi+,260.2
pi+,260.2
2mu+,270.933
2mu+,270.933
pi-,225.628
pi-,225.628
pi-,225.628
2pi-,224.774
2pi-,224.774
2pi-,224.774
pi-,180.452
pi-,180.452
pi-,180.452
2pi-,179.33
2pi-,179.33
2pi-,179.33
pi-,882.073
pi-,882.073
2pi-,880.959
2pi-,880.959
pi-,401.672
pi-,401.672
2mu-,408.242
2mu-,408.242
pi+,161.664
pi+,161.664
pi+,161.664
2mu+,116.871
2mu+,116.871
2mu+,116.871
pi-,367.239
pi-,367.239
2mu-,309.27
2mu-,309.27
2mu-,309.27
pi+,516.9
pi+,516.9
2pi+,515.578
2pi+,515.578
pi-,463.056
pi-,463.056
2pi-,461.957
2pi-,461.957
pi+,240.992
pi+,240.992
pi+,240.992
2pi+,239.564
2pi+,239.564
pi+,194.309
pi+,194.309
pi+,194.309
2pi+,193.327
2pi+,193.327
2pi+,193.327
pi-,365.614
pi-,365.614
2mu-,329.347
2mu-,329.347
pi+,359.86
pi+,359.86
2pi+,358.527
2pi+,358.527
pi+,950.337
pi+,950.337
2pi+,948.915
2pi+,948.915
pi-,281.75
pi-,281.75
2pi-,280.494
2pi-,280.494
pi+,576.056
pi+,576.056
2pi+,574.891
2pi+,574.891
pi-,93.6579
pi-,93.6579
pi-,93.6579
2mu-,93.4613
2mu-,93.4613
2mu-,93.4613
pi+,303.344
pi+,303.344
2pi+,302.147
2pi+,302.147
pi+,82.1006
pi+,82.1006
pi+,82.1006
2mu+,51.676
2mu+,51.676
2mu+,51.676
pi-,342.16
pi-,342.16
2pi-,340.973
2pi-,340.973
pi-,359.633
pi-,359.633
2pi-,358.611
2pi-,358.611
2pi-,358.611
pi-,501.499
pi-,501.499
2mu-,473.248
2mu-,473.248
pi+,404.559
pi+,404.559
2pi+,403.283
2pi+,403.283
pi-,141.225
pi-,141.225
pi-,141.225
2pi-,139.613
2pi-,139.613
2pi-,139.613
mu-,206.014
mu-,206.014
mu-,206.014
2mu-,204.84
2mu-,204.84
2mu-,204.84
pi-,783.587
pi-,783.587
2pi-,779.96
2pi-,779.96
pi-,100.695
pi-,100.695
pi-,100.695
2mu-,51.2764
2mu-,51.2764
2mu-,51.2764
pi+,249.079
pi+,249.079
2pi+,246.024
2pi+,246.024
pi-,266.071
pi-,266.071
pi-,266.071
2pi-,265.176
2pi-,265.176
2pi-,265.176
pi+,66.2966
pi+,66.2966
pi+,66.2966
2mu+,64.6006
2mu+,64.6006
2mu+,64.6006
pi-,1088.1
pi-,1088.1
2pi-,1086.89
2pi-,1086.89
pi+,299.162
pi+,299.162
pi+,299.162
2pi+,298.309
2pi+,298.309
2pi+,298.309
pi-,280.965
pi-,280.965
2pi-,279.873
2pi-,279.873
pi+,506.455
pi+,506.455
2pi+,504.863
2pi+,504.863
pi+,518.564
pi+,518.564
2pi+,517.231
2pi+,517.231
mu-,62.4509
mu-,62.4509
mu-,62.4509
2mu-,49.5353
2mu-,49.5353
2mu-,49.5353
pi+,975.873
pi+,975.873
2pi+,974.31
2pi+,974.31
pi-,147.607
pi-,147.607
pi-,147.607
2mu-,143.184
2mu-,143.184
2mu-,143.184
pi+,348.129
pi+,348.129
2pi+,347.18
2pi+,347.18
pi+,778.143
pi+,778.143
2pi+,777.043
2pi+,777.043
pi+,1266.25
pi+,1266.25
2pi+,1262.92
2pi+,1262.92
pi-,149.036
pi-,149.036
pi-,149.036
2mu-,102.634
2mu-,102.634
2mu-,102.634
pi-,85.1355
pi-,85.1355
pi-,85.1355
2pi-,82.903
2pi-,82.903
2pi-,82.903
pi+,112.412
pi+,112.412
pi+,112.412
2pi+,111.146
2pi+,111.146
2pi+,111.146
pi+,37.9278
pi+,37.9278
pi+,37.9278
2mu+,49.9385
2mu+,49.9385
2mu+,49.9385
pi-,378.551
pi-,378.551
2pi-,377.454
2pi-,377.454
pi+,133.036
pi+,133.036
pi+,133.036
pi-,460.549
pi-,460.549
2mu-,421.842
2mu-,421.842
pi+,827.495
pi+,827.495
2pi+,826.283
2pi+,826.283
pi+,1346.37
pi+,1346.37
2pi+,1345.24
2pi+,1345.24
pi-,383.151
pi-,383.151
2pi-,381.883
2pi-,381.883
pi+,408.058
pi+,408.058
2pi+,407.043
2pi+,407.043
pi-,407.1
pi-,407.1
pi-,407.1
2pi-,406.241
2pi-,406.241
2pi-,406.241
pi-,172.894
pi-,172.894
pi-,172.894
2pi-,171.763
2pi-,171.763
2pi-,171.763
pi+,879.841
pi+,879.841
2pi+,878.933
2pi+,878.933
pi+,322.42
pi+,322.42
2pi+,321.173
2pi+,321.173
pi-,821.653
pi-,821.653
2pi-,820.51
2pi-,820.51
pi+,221.365
pi+,221.365
pi+,221.365
2pi+,220.055
2pi+,220.055
2pi+,220.055
pi-,172.663
pi-,172.663
pi-,172.663
2mu-,102.911
2mu-,102.911
2mu-,102.911
pi-,384.163
pi-,384.163
2pi-,383.068
2pi-,383.068
mu-,164.043
mu-,164.043
mu-,164.043
2mu-,161.401
2mu-,161.401
2mu-,161.401
pi+,455.778
pi+,455.778
2mu+,313.199
2mu+,313.199
pi+,142.677
pi+,142.677
pi+,142.677
2mu+,136.732
2mu+,136.732
2mu+,136.732
pi+,606.601
pi+,606.601
2mu+,604.996
2mu+,604.996
pi+,222.179
pi+,222.179
pi+,222.179
2pi+,221.022
2pi+,221.022
2pi+,221.022
pi-,199.578
pi-,199.578
pi-,199.578
2mu-,127.796
2mu-,127.796
2mu-,127.796
pi+,522.156
pi+,522.156
2pi+,521.181
2pi+,521.181
pi+,462.013
pi+,462.013
2pi+,460.656
2pi+,460.656
pi-,403.604
pi-,403.604
2pi-,402.106
2pi-,402.106
pi+,2544.41
pi+,2544.41
2pi+,2543.36
2pi+,2543.36
pi+,727.32
pi+,727.32
2pi+,726.372
2pi+,726.372
pi+,791.256
pi+,791.256
2pi+,789.978
2pi+,789.978
pi-,276.511
pi-,276.511
2mu-,235.858
2mu-,235.858
2mu-,235.858
pi+,433.51
pi+,433.51
2mu+,397.843
2mu+,397.843
pi-,255.679
pi-,255.679
2mu-,135.421
2mu-,135.421
2mu-,135.421
pi-,1102.6
pi-,1102.6
2pi-,1101.51
2pi-,1101.51
pi+,665.274
pi+,665.274
2pi+,664.046
2pi+,664.046
pi-,641.788
pi-,641.788
2pi-,640.454
2pi-,640.454
mu+,344.878
mu+,344.878
2mu+,338.891
2mu+,338.891
mu+,118.895
mu+,118.895
mu+,118.895
2mu+,109.96
2mu+,109.96
2mu+,109.96
pi-,742.678
pi-,742.678
2pi-,740.721
2pi-,740.721
pi+,261.746
pi+,261.746
pi+,261.746
2mu+,174.761
2mu+,174.761
2mu+,174.761
pi-,434.328
pi-,434.328
2pi-,433.089
2pi-,433.089
pi-,318.822
pi-,318.822
2pi-,317.539
2pi-,317.539
pi+,420.406
pi+,420.406
2pi+,418.786
2pi+,418.786
pi+,544.054
pi+,544.054
2pi+,542.918
2pi+,542.918
pi-,588.112
pi-,588.112
2pi-,587.134
2pi-,587.134
