ParticleType,Energy
pi-,205.7
pi-,205.7
pi-,205.7
2mu-,179.228
2mu-,179.228
2mu-,179.228
pi-,147.983
pi-,147.983
pi-,147.983
pi+,671.827
pi+,671.827
mu+,219.871
mu+,219.871
mu+,219.871
2mu+,217.402
2mu+,217.402
2mu+,217.402
pi-,398.473
pi-,398.473
2mu-,282.079
2mu-,282.079
2mu-,282.079
pi+,420.763
pi+,420.763
2mu+,295.089
2mu+,295.089
2mu+,295.089
pi-,408.474
pi-,408.474
2pi-,405.92
2pi-,405.92
2pi-,405.92
pi+,511.41
pi+,511.41
2mu+,437.641
2mu+,437.641
2mu+,437.641
pi+,332.182
pi+,332.182
2mu+,346.764
2mu+,346.764
2mu+,346.764
pi-,370.425
pi-,370.425
2mu-,334.37
2mu-,334.37
2mu-,334.37
pi+,356.164
pi+,356.164
2mu+,331.378
2mu+,331.378
2mu+,331.378
pi+,937.886
pi+,937.886
2pi+,936.217
2pi+,936.217
2pi+,936.217
pi+,511.723
pi+,511.723
pi+,395.855
pi+,395.855
2mu+,308.726
2mu+,308.726
2mu+,308.726
pi+,896.27
pi+,896.27
2pi+,894.137
2pi+,894.137
2pi+,894.137
pi-,483.59
pi-,483.59
2pi-,480.358
2pi-,480.358
2pi-,480.358
pi+,359.017
pi+,359.017
pi-,375.083
pi-,375.083
2mu-,302.798
2mu-,302.798
2mu-,302.798
pi+,355.05
pi+,355.05
pi+,355.05
2pi+,353.103
2pi+,353.103
2pi+,353.103
pi+,438.481
pi+,438.481
pi-,300.459
pi-,300.459
pi-,300.459
2mu-,293.356
2mu-,293.356
2mu-,293.356
pi+,214.522
pi+,214.522
pi+,214.522
2mu+,223.02
2mu+,223.02
2mu+,223.02
pi+,332.37
pi+,332.37
2pi+,330.353
2pi+,330.353
2pi+,330.353
pi-,530.991
pi-,530.991
pi+,313.043
pi+,313.043
2pi+,310.21
2pi+,310.21
2pi+,310.21
pi-,304.599
pi-,304.599
2pi-,302.588
2pi-,302.588
2pi-,302.588
pi-,686.887
pi-,686.887
2pi-,684.912
2pi-,684.912
2pi-,684.912
pi+,330.489
pi+,330.489
2mu+,276.201
2mu+,276.201
2mu+,276.201
pi+,162.9
pi+,162.9
pi+,162.9
2mu+,137.184
2mu+,137.184
2mu+,137.184
pi-,344.686
pi-,344.686
2mu-,221.651
2mu-,221.651
2mu-,221.651
pi+,1501.86
pi+,1501.86
pi-,637.306
pi-,637.306
2pi-,635.305
2pi-,635.305
2pi-,635.305
pi+,324.202
pi+,324.202
pi+,661.015
pi+,661.015
2mu+,396.132
2mu+,396.132
2mu+,396.132
pi-,500.791
pi-,500.791
2pi-,498.719
2pi-,498.719
2pi-,498.719
pi-,509.314
pi-,509.314
2pi-,506.548
2pi-,506.548
2pi-,506.548
pi+,321.901
pi+,321.901
pi+,593.761
pi+,593.761
pi-,556.83
pi-,556.83
pi+,73.1553
pi+,73.1553
pi+,73.1553
pi+,670.985
pi+,670.985
pi-,238.394
pi-,238.394
pi-,238.394
2pi-,235.905
2pi-,235.905
2pi-,235.905
pi-,237.299
pi-,237.299
pi-,237.299
2pi-,234.455
2pi-,234.455
2pi-,234.455
pi+,204.947
pi+,204.947
pi+,204.947
2mu+,159.523
2mu+,159.523
2mu+,159.523
pi-,383.293
pi-,383.293
2mu-,226.988
2mu-,226.988
2mu-,226.988
pi-,728.624
pi-,728.624
2pi-,726.388
2pi-,726.388
2pi-,726.388
pi+,354.455
pi+,354.455
pi-,377.873
pi-,377.873
pi-,471.441
pi-,471.441
2pi-,469.567
2pi-,469.567
2pi-,469.567
pi+,379.219
pi+,379.219
2mu+,381.414
2mu+,381.414
2mu+,381.414
pi-,352.208
pi-,352.208
2pi-,349.516
2pi-,349.516
2pi-,349.516
pi+,565.962
pi+,565.962
2pi+,563.781
2pi+,563.781
2pi+,563.781
pi+,295.195
pi+,295.195
2mu+,320.037
2mu+,320.037
2mu+,320.037
pi-,206.592
pi-,206.592
pi+,1086.28
pi+,1086.28
2pi+,1084.29
2pi+,1084.29
2pi+,1084.29
pi+,400.588
pi+,400.588
2pi+,398.149
2pi+,398.149
2pi+,398.149
pi+,339.24
pi+,339.24
2mu+,331.272
2mu+,331.272
2mu+,331.272
pi-,1743.6
pi-,1743.6
2mu-,1180.95
2mu-,1180.95
2mu-,1180.95
pi+,533.263
pi+,533.263
2pi+,530.994
2pi+,530.994
2pi+,530.994
pi-,794.979
pi-,794.979
pi-,225.434
pi-,225.434
pi-,225.434
pi+,387.199
pi+,387.199
pi+,38.4721
pi+,38.4721
pi+,38.4721
pi-,72.5086
pi-,72.5086
pi-,72.5086
2pi-,69.8279
2pi-,69.8279
2pi-,69.8279
2pi-,18.554
2pi-,18.554
2pi-,18.554
mu-,5.00677
mu-,5.00677
mu-,5.00677
pi+,260.699
pi+,260.699
pi+,260.699
2mu+,273.266
2mu+,273.266
2mu+,273.266
pi-,57.3533
pi-,57.3533
pi-,57.3533
pi+,400.712
pi+,400.712
2pi+,398.438
2pi+,398.438
2pi+,398.438
pi-,431.546
pi-,431.546
mu-,30.4022
mu-,30.4022
mu-,30.4022
pi+,324.449
pi+,324.449
2mu+,238.663
2mu+,238.663
2mu+,238.663
pi+,204.915
pi+,204.915
pi+,204.915
pi+,701.693
pi+,701.693
2pi+,699.099
2pi+,699.099
2pi+,699.099
pi-,128.321
pi-,128.321
pi-,128.321
pi+,383.712
pi+,383.712
2mu+,326.237
2mu+,326.237
2mu+,326.237
pi-,390.673
pi-,390.673
2pi-,387.043
2pi-,387.043
2pi-,387.043
mu+,205.702
mu+,205.702
mu+,205.702
pi-,363.035
pi-,363.035
pi-,415.551
pi-,415.551
pi+,816.237
pi+,816.237
pi-,307.441
pi-,307.441
pi+,919.439
pi+,919.439
2pi+,896.405
2pi+,896.405
2pi+,896.405
pi+,229.629
pi+,229.629
pi-,275.912
pi-,275.912
pi-,275.912
2mu-,284.299
2mu-,284.299
2mu-,284.299
pi+,295.649
pi+,295.649
pi+,295.649
2pi+,293.249
2pi+,293.249
2pi+,293.249
pi+,597.262
pi+,597.262
2mu+,358.206
2mu+,358.206
2mu+,358.206
pi+,841.139
pi+,841.139
2pi+,839.124
2pi+,839.124
2pi+,839.124
mu-,42.7483
mu-,42.7483
mu-,42.7483
pi-,449.664
pi-,449.664
2pi-,447.405
2pi-,447.405
2pi-,447.405
pi+,389.46
pi+,389.46
pi-,444.629
pi-,444.629
2mu-,441.594
2mu-,441.594
2mu-,441.594
pi-,243.643
pi-,243.643
pi+,32.9283
pi+,32.9283
pi+,32.9283
pi+,298.874
pi+,298.874
pi-,309.239
pi-,309.239
pi-,309.239
2mu-,163.621
2mu-,163.621
2mu-,163.621
pi+,320.963
pi+,320.963
2pi+,318.602
2pi+,318.602
2pi+,318.602
pi+,509.32
pi+,509.32
pi-,303.891
pi-,303.891
pi+,560.77
pi+,560.77
2mu+,313.836
2mu+,313.836
2mu+,313.836
pi+,256.441
pi+,256.441
pi+,354.277
pi+,354.277
2mu+,235.335
2mu+,235.335
2mu+,235.335
pi+,806.2
pi+,806.2
2pi+,803.617
2pi+,803.617
2pi+,803.617
pi+,736.882
pi+,736.882
2pi+,734.551
2pi+,734.551
2pi+,734.551
pi-,535.733
pi-,535.733
2pi-,533.756
2pi-,533.756
2pi-,533.756
pi-,17.4144
pi-,17.4144
pi-,17.4144
pi-,862.092
pi-,862.092
2pi-,859.889
2pi-,859.889
2pi-,859.889
pi+,516.194
pi+,516.194
2pi+,513.961
2pi+,513.961
2pi+,513.961
pi+,797.849
pi+,797.849
2pi+,795.717
2pi+,795.717
2pi+,795.717
pi-,2729.7
pi-,2729.7
pi+,278.226
pi+,278.226
pi-,71.139
pi-,71.139
pi-,71.139
mu-,78.8901
mu-,78.8901
mu-,78.8901
pi-,347.23
pi-,347.23
pi+,258.722
pi+,258.722
pi+,258.722
pi-,734.694
pi-,734.694
2mu-,742.426
2mu-,742.426
2mu-,742.426
pi+,273.221
pi+,273.221
2mu+,161.922
2mu+,161.922
2mu+,161.922
pi-,247.649
pi-,247.649
pi-,247.649
2pi-,245.298
2pi-,245.298
2pi-,245.298
pi+,328.449
pi+,328.449
pi+,328.449
2mu+,310.688
2mu+,310.688
2mu+,310.688
pi-,240.91
pi-,240.91
pi-,240.91
2mu-,228.374
2mu-,228.374
2mu-,228.374
pi-,234.764
pi-,234.764
pi+,1061.4
pi+,1061.4
2mu+,999.627
2mu+,999.627
2mu+,999.627
pi+,382.929
pi+,382.929
pi-,294.772
pi-,294.772
pi+,782.567
pi+,782.567
2mu+,666.843
2mu+,666.843
2mu+,666.843
pi+,221.859
pi+,221.859
pi+,221.859
2pi+,219.613
2pi+,219.613
2pi+,219.613
pi-,269.804
pi-,269.804
pi+,228.92
pi+,228.92
pi+,228.92
2mu+,195.834
2mu+,195.834
2mu+,195.834
pi-,838.388
pi-,838.388
2mu-,705.934
2mu-,705.934
2mu-,705.934
pi-,804.083
pi-,804.083
2pi-,771.891
2pi-,771.891
2pi-,771.891
pi+,1106.84
pi+,1106.84
2pi+,1104.76
2pi+,1104.76
2pi+,1104.76
pi-,983.886
pi-,983.886
2pi-,981.526
2pi-,981.526
2pi-,981.526
pi-,347.37
pi-,347.37
2mu-,345.611
2mu-,345.611
2mu-,345.611
pi+,588.033
pi+,588.033
2pi+,585.524
2pi+,585.524
2pi+,585.524
pi-,254.973
pi-,254.973
pi-,254.973
2mu-,156.403
2mu-,156.403
2mu-,156.403
pi+,175.876
pi+,175.876
pi+,175.876
2mu+,163.907
2mu+,163.907
2mu+,163.907
pi+,982.254
pi+,982.254
2mu+,692.243
2mu+,692.243
2mu+,692.243
pi+,278.194
pi+,278.194
pi-,279.06
pi-,279.06
pi+,336.539
pi+,336.539
pi+,336.539
2mu+,285.947
2mu+,285.947
2mu+,285.947
pi-,442.097
pi-,442.097
2pi-,440.247
2pi-,440.247
2pi-,440.247
pi+,241.123
pi+,241.123
pi+,241.123
2mu+,252.833
2mu+,252.833
2mu+,252.833
pi+,543.808
pi+,543.808
2pi+,541.24
2pi+,541.24
2pi+,541.24
pi+,429.226
pi+,429.226
2pi+,425.158
2pi+,425.158
2pi+,425.158
pi-,572.329
pi-,572.329
2pi-,569.601
2pi-,569.601
2pi-,569.601
pi+,630.77
pi+,630.77
mu+,184.575
mu+,184.575
mu+,184.575
pi-,945.572
pi-,945.572
2pi-,942.842
2pi-,942.842
2pi-,942.842
pi-,347.372
pi-,347.372
pi-,347.372
2pi-,345.479
2pi-,345.479
2pi-,345.479
2pi-,52.5136
2pi-,52.5136
2pi-,52.5136
2pi+,25.0786
2pi+,25.0786
2pi+,25.0786
pi+,758.513
pi+,758.513
pi-,98.8836
pi-,98.8836
pi+,1036.8
pi+,1036.8
2pi+,1034.68
2pi+,1034.68
2pi+,1034.68
pi+,329.287
pi+,329.287
pi+,173.477
pi+,173.477
pi+,173.477
pi+,364.2
pi+,364.2
pi+,364.2
2pi+,362.35
2pi+,362.35
2pi+,362.35
pi-,1052.53
pi-,1052.53
2pi-,1049.94
2pi-,1049.94
2pi-,1049.94
pi+,878.376
pi+,878.376
2pi+,875.68
2pi+,875.68
2pi+,875.68
pi-,396.051
pi-,396.051
mu+,249.731
mu+,249.731
