ParticleType	PosX_mm	PosY_mm	PosZ_mm
pi-	0.662388	0.322854	94.9372	
pi-	1.03555	-0.0155905	95.0776	
pi-	1.32203	-0.245476	95.2433	
pi-	1.57467	-0.412769	95.3178	
pi-	1.80064	-0.516547	95.3249	
pi-	1.95502	-0.605951	95.273	
pi-	2.0161	-0.613157	95.2504	
pi-	2.016	-0.613584	95.248	
pi-	2.016	-0.613584	95.248	
pi0	2.016	-0.613583	95.248	
pi0	0.179638	0.760821	94.8253	
pi+	0.457076	0.466045	94.2355	
pi+	0.632216	0.118135	93.8124	
pi+	0.596722	-0.181036	93.4646	
pi+	0.587314	-0.350189	93.1491	
pi+	0.609962	-0.442506	92.8899	
pi+	0.620591	-0.559123	92.7125	
pi+	0.593649	-0.64259	92.5987	
pi+	0.583862	-0.648484	92.5774	
pi+	0.583713	-0.648552	92.5772	
pi+	0.583713	-0.648552	92.5772	
mu+	0.531045	-0.763495	92.5994	
mu+	0.516113	-0.772399	92.595	
mu+	0.51612	-0.772839	92.5947	
mu+	0.516098	-0.772842	92.5947	
mu+	0.516098	-0.772842	92.5947	
pi+	2.6022	2.63636	90.6185	
pi+	3.71564	4.07334	87.6212	
pi-	0.197873	0.882083	95.226	
pi-	0.561243	1.93348	98.5576	
pi0	0.561229	1.93365	98.5579	
pi-	5.2914	5.18578	104.621	
pi0	18.9007	3.27529	153.272	
pi-	0.5788	4.03957	95.8693	
pi-	1.36478	6.24111	97.1041	
pi-	1.61717	8.05874	98.1232	
pi-	1.75315	9.55817	98.8603	
pi-	1.86523	10.7343	99.4583	
pi-	1.98209	11.7349	99.7376	
pi-	1.94236	12.5308	99.7644	
pi-	1.94522	13.1713	99.6968	
pi-	1.80856	13.6761	99.7011	
pi-	1.67054	14.0486	99.8407	
pi-	1.57561	14.3629	99.8753	
pi-	1.49201	14.5866	99.9624	
pi-	1.44002	14.7729	100.012	
pi-	1.40294	14.8216	100.099	
pi-	1.4016	14.82	100.102	
pi-	1.40155	14.82	100.102	
pi-	1.40155	14.82	100.102	
pi0	-4.00975	1.20168	454.253	
pi+	-3.71105	-2.25795	454.898	
pi+	-3.39194	-4.91061	455.871	
pi+	-2.92809	-7.10001	456.516	
pi+	-2.56748	-8.91223	456.886	
pi+	-2.51758	-10.3941	457.284	
pi+	-2.68521	-11.547	457.608	
pi+	-2.80047	-12.4942	457.86	
pi+	-2.76778	-13.2966	457.908	
pi+	-2.68507	-13.8887	457.997	
pi+	-2.63692	-14.348	458.144	
pi+	-2.4031	-14.6457	458.149	
pi+	-2.27526	-14.9058	458.073	
pi+	-2.16245	-15.0959	458.01	
pi+	-2.044	-15.2057	457.973	
pi+	-2.0506	-15.2396	457.937	
pi+	-2.05092	-15.2401	457.937	
pi+	-2.05093	-15.2401	457.937	
pi+	-2.05093	-15.2401	457.937	
mu+	-2.00489	-15.2129	457.826	
mu+	-1.99446	-15.2054	457.814	
mu+	-1.99454	-15.2052	457.814	
mu+	-1.99454	-15.2052	457.814	
pi-	-6.26846	0.55371	478.223	
pi-	-7.52137	0.584497	487.955	
pi-	-4.10883	0.602477	460.118	
pi-	-3.6994	-2.51532	462.427	
pi+	-5.09061	-19.7393	478.329	
pi+	-5.28239	-21.2429	479.841	
pi+	-4.78617	-21.8217	480.459	
pi-	-4.71928	3.99229	461.735	
pi0	7.09513e-06	-5.58359e-05	48.4599	
pi-	-21.0199	-10.9625	102.477	
pi-	-21.2928	-10.9503	102.57	
pi-	-21.4898	-10.922	102.657	
pi-	-21.6238	-10.953	102.719	
pi-	-21.6475	-10.962	102.726	
